area,item,year,avg_rain_mm,pesticides_tonnes,avg_temp,area_code,hg/ha_yield,item_code
albania,maize,1990,1485.0,121.0,16.37,3,36613.0,56
albania,potatoes,1990,1485.0,121.0,16.37,3,69120.22,116
albania,"rice, paddy",1990,1485.0,121.0,16.37,3,23489.15,27
albania,sorghum,1990,1485.0,121.0,16.37,3,12383.34,83
albania,soybeans,1990,1485.0,121.0,16.37,3,7000.0,236
albania,wheat,1990,1485.0,121.0,16.37,3,30197.0,15
albania,maize,1991,1485.0,121.0,15.36,3,29068.0,56
albania,potatoes,1991,1485.0,121.0,15.36,3,77818.0,116
albania,"rice, paddy",1991,1485.0,121.0,15.36,3,28538.0,27
albania,sorghum,1991,1485.0,121.0,15.36,3,6667.0,83
albania,soybeans,1991,1485.0,121.0,15.36,3,6066.0,236
albania,wheat,1991,1485.0,121.0,15.36,3,20927.46,15
albania,maize,1992,1485.0,121.0,16.06,3,24876.0,56
albania,potatoes,1992,1485.0,121.0,16.06,3,82920.0,116
albania,"rice, paddy",1992,1485.0,121.0,16.06,3,40000.0,27
albania,sorghum,1992,1485.0,121.0,16.06,3,3805.4,83
albania,soybeans,1992,1485.0,121.0,16.06,3,4849.98,236
albania,wheat,1992,1485.0,121.0,16.06,3,24388.0,15
albania,maize,1993,1485.0,121.0,16.05,3,24337.02,56
albania,potatoes,1993,1485.0,121.0,16.05,3,98446.0,116
albania,"rice, paddy",1993,1485.0,121.0,16.05,3,41732.42,27
albania,soybeans,1993,1485.0,121.0,16.05,3,7998.0,236
albania,wheat,1993,1485.0,121.0,16.05,3,29976.0,15
albania,maize,1994,1485.0,201.0,16.96,3,25848.0,56
albania,potatoes,1994,1485.0,201.0,16.96,3,81404.0,116
albania,soybeans,1994,1485.0,201.0,16.96,3,7927.0,236
albania,wheat,1994,1485.0,201.0,16.96,3,24745.0,15
albania,maize,1995,1485.0,251.0,15.67,3,31300.0,56
albania,potatoes,1995,1485.0,251.0,15.67,3,111323.0,116
albania,soybeans,1995,1485.0,251.0,15.67,3,11791.0,236
albania,wheat,1995,1485.0,251.0,15.67,3,28703.0,15
albania,maize,1996,1485.0,313.96,15.64,3,32604.0,56
albania,potatoes,1996,1485.0,313.96,15.64,3,106138.0,116
albania,soybeans,1996,1485.0,313.96,15.64,3,15480.0,236
albania,wheat,1996,1485.0,313.96,15.64,3,21741.0,15
albania,maize,1997,1485.0,376.93,15.9,3,31862.0,56
albania,potatoes,1997,1485.0,376.93,15.9,3,109874.0,116
albania,soybeans,1997,1485.0,376.93,15.9,3,12768.0,236
albania,wheat,1997,1485.0,376.93,15.9,3,28516.0,15
albania,maize,1998,1485.0,439.89,16.27,3,33416.0,56
albania,potatoes,1998,1485.0,439.89,16.27,3,127212.0,116
albania,soybeans,1998,1485.0,439.89,16.27,3,14327.0,236
albania,wheat,1998,1485.0,439.89,16.27,3,28037.0,15
albania,maize,1999,1485.0,502.86,16.57,3,37455.0,56
albania,potatoes,1999,1485.0,502.86,16.57,3,142018.0,116
albania,soybeans,1999,1485.0,502.86,16.57,3,17143.0,236
albania,wheat,1999,1485.0,502.86,16.57,3,24954.0,15
albania,maize,2000,1485.0,565.82,16.67,3,38811.0,56
albania,potatoes,2000,1485.0,565.82,16.67,3,141228.0,116
